date,HRV_ms,RHR_bpm,Sleep_hours,Steps,VO2_max,Stress_index
2023-04-19,36.7,82,6.57,6503,35.5,65.3
2023-04-03,34.2,82,6.84,5686,35.5,67.9
2023-02-16,27.8,85,5.98,4554,32.1,74.3
2023-03-22,34.9,83,6.69,5735,35.3,67.5
2023-04-14,34.6,83,6.69,5876,36.5,66.1
2023-06-28,45.1,75,6.61,7525,36.3,50.6
2023-06-24,45.1,80,7.27,7321,37.4,53.4
2023-07-14,46.5,77,7.4,7981,39.0,47.9
2023-02-25,29.3,85,6.16,5840,32.2,68.8
2023-03-06,30.7,86,6.19,5872,32.9,70.3
2023-02-10,28.1,83,6.04,5499,32.0,75.7
2023-07-17,47.4,77,7.1,8068,37.6,47.9
2023-02-28,30.0,86,6.04,5653,32.4,68.8
2023-04-23,32.6,84,6.34,6167,35.2,64.1
2023-03-02,28.7,84,6.81,5951,32.6,72.5
2023-01-18,24.0,90,5.88,4635,30.6,74.8
2023-04-02,32.0,82,6.43,6108,35.3,67.9
2023-01-19,25.3,88,6.28,4453,30.8,74.7
2023-02-22,26.7,90,6.47,5162,32.5,72.5
2023-01-16,24.2,90,5.68,4634,29.3,76.6
2023-05-11,39.4,80,6.91,6168,37.8,62.0
2023-06-19,47.7,80,7.48,7171,38.4,58.5
2023-01-18,25.7,86,5.94,4969,30.3,74.3
2023-01-21,24.2,90,6.48,5438,31.2,77.0
2023-02-18,27.8,84,5.98,5073,31.8,69.6
2023-05-27,41.4,76,6.57,6571,36.4,55.8
2023-02-02,25.9,88,5.94,4912,30.6,77.3
2023-06-21,42.2,76,7.51,7079,35.9,56.5
2023-03-05,30.0,88,6.03,5226,34.7,72.7
2023-02-14,25.6,86,6.21,5162,34.5,68.8
2023-01-30,28.0,89,5.48,4791,31.2,72.1
2023-01-12,23.3,91,5.54,4507,30.1,77.2
2023-02-22,30.9,88,6.45,5148,31.3,72.5
2023-01-14,21.4,90,6.27,4462,30.8,78.5
2023-01-16,24.2,87,5.68,4539,29.3,76.6
2023-05-18,41.9,78,6.65,7157,38.7,59.6
2023-06-30,45.9,74,7.07,8003,38.4,55.0
2023-01-04,24.4,92,6.49,4637,30.7,76.8
2023-01-26,23.3,90,5.69,4477,31.7,74.0
2023-03-01,29.4,86,5.86,5928,34.7,66.7
2023-05-02,34.4,78,6.43,6717,36.1,65.8
2023-04-08,33.3,84,6.43,6157,35.4,64.1
2023-01-22,25.7,85,6.47,4779,32.5,73.5
2023-05-19,44.6,77,7.07,7053,37.2,61.8
2023-07-08,47.4,76,7.28,7468,39.2,51.4
2023-01-14,21.4,90,5.72,4462,30.8,79.6
2023-04-25,36.8,84,6.43,6507,34.2,63.6
2023-05-28,41.7,74,6.86,6573,37.9,54.3
2023-06-17,45.2,77,6.5,8003,36.4,55.6
2023-01-05,23.3,87,5.69,4477,29.8,79.6
2023-06-25,44.2,77,6.81,7594,38.4,54.8
2023-03-29,33.9,83,6.73,5752,36.5,68.6
2023-02-22,28.3,84,6.07,5149,33.4,72.7
2023-05-04,39.6,84,6.84,6103,35.5,58.5
2023-05-13,36.8,78,6.88,5756,36.1,63.3
2023-03-06,30.6,87,6.14,5654,33.6,68.6
2023-06-30,43.9,74,7.37,7936,38.4,55.0
2023-01-13,22.3,91,5.54,4808,31.7,75.6
2023-06-06,42.9,74,7.02,7780,38.3,55.2
2023-05-03,36.4,78,6.14,6494,35.8,62.1
2023-07-08,47.7,74,7.26,7461,39.8,52.8
2023-01-28,25.3,86,6.2,5125,30.8,74.8
2023-02-24,34.2,83,6.02,5691,34.1,69.3
2023-05-07,37.3,78,6.2,6306,34.7,58.8
2023-04-29,35.5,81,6.77,6792,36.1,65.8
2023-04-18,36.5,79,6.37,6500,35.5,64.8
2023-04-16,37.9,81,5.84,5852,36.2,64.3
2023-07-15,47.7,74,7.16,8006,39.8,49.4
2023-06-16,44.1,77,7.41,7994,38.4,54.0
2023-01-20,24.9,90,6.45,4269,31.7,76.8
2023-03-13,27.1,81,6.31,5632,33.4,68.2
2023-01-26,24.2,90,6.39,4784,31.1,75.7
2023-04-25,36.8,83,6.19,6508,35.6,63.6
2023-07-06,47.5,72,7.16,7961,39.4,53.8
2023-01-06,26.4,88,6.02,4494,29.9,79.0
2023-06-25,43.6,76,6.24,7284,37.6,55.0
2023-06-07,42.9,77,6.67,6791,38.3,58.5
2023-05-13,36.8,81,6.71,5753,36.1,63.3
2023-02-23,27.7,88,6.32,5677,33.3,67.1
2023-04-06,33.3,82,6.43,6307,35.4,67.7
2023-05-25,41.8,77,6.19,7473,37.6,57.3
2023-06-04,43.1,78,6.95,7107,38.9,54.0
2023-05-18,40.6,79,6.76,7357,37.1,58.3
2023-02-19,29.8,88,5.83,4657,30.2,75.7
2023-01-27,24.6,87,5.89,4497,32.5,77.5
2023-03-01,29.4,88,6.14,5499,34.7,68.7
2023-03-02,28.7,83,6.81,5364,32.2,66.1
