date,HRV_ms,RHR_bpm,Sleep_hours,Steps,VO2_max,Stress_index
2025-01-01,44.1,70.6,7.0,7066,42.2,55.5
2025-01-02,40.2,68.8,6.54,7565,41.9,50.4
2025-01-03,44.0,69.8,7.37,8661,41.8,57.1
2025-01-04,44.6,69.3,6.95,7112,42.1,58.5
2025-01-05,42.9,71.1,7.27,8276,42.1,53.9
2025-01-06,40.4,71.9,7.48,7377,41.9,59.9
2025-01-07,40.2,68.4,6.88,7213,41.8,57.1
2025-01-08,35.9,71.7,5.91,8968,41.9,65.7
2025-01-09,35.0,73.4,5.92,8009,42.2,62.4
2025-01-10,38.8,73.1,5.91,7867,42.0,66.9
2025-01-11,39.8,74.9,5.64,7325,41.8,67.8
2025-01-12,34.4,72.0,6.48,8023,42.1,59.6
2025-01-13,37.8,73.5,6.31,8459,42.1,65.6
2025-01-14,35.0,71.1,5.84,7396,42.2,58.7
